Name,Rating,Reviews,Info,Address,Price,Phone,Services
Dusri Biwi Cafe & Restaurant,4.3,93,Veg-only,"second floor, Bhai Bhai medicine building, Trinayani Ln, opposite Malika Medico, Kanakpur, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
SUSUMA FOODS,4.1,33,Delivery,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Sikkim Momo,4.0,202,No-contact delivery,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
HOT-BIRD Bar cum Restaurant,3.7,341,Takeaway,"opp. Cancer Hospital Lane, Meherpur, Birbal Bazar, Silchar, Assam 788015",₹200–400,Not found,Not found
South Corner,3.7,573,"""Atmosphere is good, location is well.""","near taraknath mandir, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Shruti Family Restaurant,5.0,1,Temporarily closed,"near ISBT, Ramnagar, Silchar, Assam 788025",₹200–400,Not found,Not found
Radharaman Hotal,,0,Temporarily closed,"colony, Karimganj Road, Ramnagar, Ambikapur Part-X, Silchar, Assam 788003",₹200–400,Not found,Not found
RANNA GHAR,4.1,951,No-contact delivery,"chourangi Ma Durga Bhavan, opposite to Hitesh Biswas Road, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
FoodXMusic,4.8,29,No-contact delivery,"chourangi Ma Durga Bhavan, opposite to Hitesh Biswas Road, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
La Trio Pizza & The Kathi Nation,4.0,630,Informal pit stop for wood-fired pizza,"Vivekananda apartment, Narshing Rd, West, Ambicapatty, Chandmari Rd, Tarapur, Silchar, Assam 788004",₹200–400,Not found,Not found
CHAKHDEY RESTAURANT,4.4,12,No-contact delivery,"Vivekananda apartment, Narshing Rd, West, Ambicapatty, Chandmari Rd, Tarapur, Silchar, Assam 788004",₹200–400,Not found,Not found
ZORKO Brand of Food Lovers,4.6,159,Veg-only,"Vivekananda Rd, Ambicapatty, Silchar, Uttar Krishnapur Part-I, Assam 788007",₹200–400,Not found,Not found
Parijat Hotel & Restaurant,3.3,396,Laid-back budget hotel with dining,"Vijoyshree Complex, Trunk Road, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Amma Idli Dosa,3.1,25,No-contact delivery,"Vijoyshree Complex, Trunk Road, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
EMA GI HOTEL [ TASTE OF MOM ] Manipuri hotel,,0,No-contact delivery,"VIP road, opposite LNB wine shop, Rongpur, Silchar, Assam 788009",Not found,Not found,Not found
"Domino's Pizza | Silchar, ASSAM",4.1,0,Longtime pizza chain known for delivery,"Upper Ground Floor (right side), Patta No.32 of 2nd R/S Ward No.24, Mouza- Ukil Bazar, Station Rd, Paragana Barakpar, Tarapur, Silchar, Assam 788003",₹200–400,Not found,Not found
"""FLAVOURS OF LOVE"" ( A FAMILY RESTAURANT )",4.0,198,"""Great food, cozy ambiance, and friendly service.""","Trinayani Ln, opp. Apanjon Polly, near Holy Cross School, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788006",₹200–400,Not found,Not found
Bhooter Raja Dilo 3 Bor,3.2,157,No-contact delivery,"Trinayani Ln, above Bank of Maharashtra, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788001",₹200–400,Not found,Not found
The Panda Chef,4.4,13,No-contact delivery,"The Panda Chef, Das Colony, Ambicapatty, Silchar, Assam 788005",₹200–400,Not found,Not found
SriKrishna Bhojanalaya,4.1,120,Veg-only,"Tarapur, Silchar, Assam 788004",₹200–400,Not found,Not found
Tribal Kitchen,4.0,491,No-contact delivery,"Tarapur, Silchar, Assam 788004",₹200–400,Not found,Not found
Brothers kitchen,4.9,33,Drive-through,"Tarapur, Silchar, Assam 788003",₹200–400,Not found,Not found
Baba Thakur Sweets & Baba'z,3.5,102,Delivery,"Station Rd, Tarapur, Silchar, Assam 788003",₹200–400,Not found,Not found
Mirch Masala Silchar,4.9,48,Veg-only,"Sramik Union Complex, Sadarghat Road, Janiganj Gold Cinema Building, Barak Cha, Silchar, Assam 788001",₹200–400,Not found,Not found
ZAHRA Multi Cuisine Family Restaurant,4.4,232,No-contact delivery,"Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",₹200–400,Not found,Not found
"Shree Nawab Restaurant, Central Road",4.6,0,No-contact delivery,"Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",₹200–400,Not found,Not found
J.K Dhaba & Hotel,3.8,34,Drive-through,"Silchar By Pass Road, Kuarpar Rd, Ghungoor, Assam 788010",₹1–200,Not found,Not found
BurgerMansilchar,4.8,62,"""Burgers are yummy......one of best in town.""","Shillong Patty, near chotelal seth, opposite to yes bank, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Pakwan Multi-Cuisine Restaurant,3.2,302,No-contact delivery,"Shillong Patty, Shyamaprasad Road, Silchar, Assam 788001",₹200–400,Not found,Not found
Paniharin Restaurant,3.6,114,No-contact delivery,"Shillong Patty, Nazirpatty, Tarapur, Silchar, Assam 788007",₹200–400,Not found,Not found
Momo Is Love,4.8,16,No-contact delivery,"Sarat Pally Rd, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788006",₹1–200,Not found,Not found
Marwadi Dhabha,4.2,0,Veg-only,"Ramnagar, Silchar, Bangala Ghat Grant, Assam 788003",₹1–200,Not found,Not found
Momo Magic Cafe Silchar,4.3,198,Veg-only,"Ramnagar, Silchar, Assam 788026",₹1–200,Not found,Not found
Babumashai Authentic Bengali Cuisine,3.5,20,Delivery,"Ramnagar, Silchar, Assam 788026",₹1–200,Not found,Not found
MOMO PLAZA,3.6,110,No-contact delivery,"Ramnagar, Ambikapur Part-X, Silchar, Assam 788003",₹1–200,Not found,Not found
New Hilara Marwari Tandoori Dhaba,4.0,213,Veg-only,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",₹1–200,Not found,Not found
Avighna Foods,2.9,16,Delivery,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",₹1–200,Not found,Not found
Purbanchal Hotel,4.3,547,Delivery,"Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",₹200–400,Not found,Not found
New Hotel Cum Restaurant,4.8,5,Takeaway,"Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",₹200–400,Not found,Not found
Mirch Masala,4.6,18,Veg-only,"RRP2+R87, Nursing Home Road, Manipuri Para, Tarapur, Rongpur Pt IV, Silchar, Assam 788002",₹200–400,Not found,Not found
Kalpana's Hotel Cum Restaurant,3.8,16,Takeaway,"RRJ2+752, Club Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Choudhury Hotel & Restaurant,3.6,58,Takeaway,"RRH3+JHV, Sadarghat Road, Tarapur, Silchar, Assam 788001",₹1–200,Not found,Not found
Seven Spices,4.3,11,No-contact delivery,"RRG2+G34 Seven Spices, Central Rd, near Gopinath Jewellers, Gandhi Bagh, Tarapur, Silchar, Assam 788010",₹200–400,Not found,Not found
Shakahaar Restaurant,4.1,776,Veg-only,"RRG2+G34 Seven Spices, Central Rd, near Gopinath Jewellers, Gandhi Bagh, Tarapur, Silchar, Assam 788010",₹200–400,Not found,Not found
Randhan Family Dhaba,4.0,87,Delivery,"RQJ2+9C7, NH 37, Bajantipur Pt I, Assam 788026",₹1–200,Not found,Not found
Restaurant Diya,3.6,43,Takeaway,"RQHX+9P9, Circuit House Road, Gandhi Bagh, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Hotel Dhakaiya,3.7,330,Delivery,"RQGX+CVH, Narshing Tola, Silchar, Assam 788001",₹1–200,Not found,Not found
BBC Cafe,4.1,281,No-contact delivery,"RQGQ+VX7, KV Rd, Ambicapatty, Silchar, Assam 788003",₹200–400,Not found,Not found
SWAPNA RESTAURANT,5.0,1,"RQGQ+QQ5, KV Rd","RQGQ+QQ5, KV Rd, Ambicapatty, Silchar, Assam 788003",₹1–200,Not found,Not found
NANDU RESTAURANT,,0,"RQGQ+PH3, KV Rd","RQGQ+PH3, KV Rd, Ambicapatty, Silchar, Assam 788003",₹1–200,Not found,Not found
Eat & Fit,3.9,745,No-contact delivery,"RQGQ+FPX, KV Rd, Ambicapatty, Silchar, Assam 788007",₹200–400,Not found,Not found
ASSAMESE RESTAURANT,5.0,1,"RQGQ+FPX, KV Rd","RQGQ+FPX, KV Rd, Ambicapatty, Silchar, Assam 788007",₹200–400,Not found,Not found
Skyview,3.8,112,Takeaway,"RQFX+F3G, Shayam Prasad Road, Shillong Patty, Silchar, Assam 788001",₹200–400,Not found,Not found
Pet Pooja Resturant,3.6,18,Veg-only,"RQFX+6V5, Gopalganj, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
Wonder Chef,3.8,12,Takeaway,"RQFX+6V5, Gopalganj, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
Swarupa Restaurant Dhaba,3.7,193,Delivery,"RQFX+3J8, Medical Road, Near Ploce Chowk Premtala, Silchar, Assam 788001",₹200–400,Not found,Not found
Freshers Restaurant,3.8,69,Delivery,"RQFX+376, UK Datta Sarani, Jhalupara, Tarapur, Silchar, Assam 788001",₹1–200,Not found,Not found
Jaya's hotel and restaurant,4.3,121,Delivery,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",₹200–400,Not found,Not found
Grills and Giggles,4.7,223,Takeaway,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",₹200–400,Not found,Not found
Maa Kali Restaurant,5.0,1,Dine-in,"RQFR+6G9, Jhalupara, Tarapur, Silchar, Assam 788001",₹1–200,Not found,Not found
Jalu para momo center,4.3,16,Drive-through,"RQFR+6G9, Jhalupara, Tarapur, Silchar, Assam 788001",₹1–200,Not found,Not found
Oh Yes Biriyani,3.4,105,Delivery,"RQCX+XJ6, UK Datta Sarani, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Restaurant Gulmohar,3.4,10,Drive-through,"RQCX+XJ6, UK Datta Sarani, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Shaade Ahllade,3.8,110,"""Very yummy food loved it .""","RQCX+HC5, Premtala Rd, opposite Premtala Traffic Police Point, Nazirpatty, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
VISHNU PRASAD RESTAURANT,4.2,38,Temporarily closed,"RQ9X+X28, Point, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
The Bhoj of Brotherhood cafe & Restaurant,,0,Temporarily closed,"RQ9X+X28, Point, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Iskcon Temple Bhojanalaya,3.9,232,Veg-only,"RQ9W+V9J, Ambicapatty, Silchar, Assam 788001",₹1–200,Not found,Not found
TWO BROTHERS CAFE & RESTAURANT,3.8,71,Delivery,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",₹200–400,Not found,Not found
The Hashtag Cafe Silchar,3.9,201,Veg-only,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",₹200–400,Not found,Not found
Maa Kali Hotel,4.0,130,Takeaway,"RQ6X+X4V, Central Rd, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Bengali Bites,5.0,12,Takeaway,"RQ6X+789, Trinayani Ln, Kanakpur, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Borail View Regency,4.0,0,Polished hotel with a pool & rooftop bar,"RQ6W+MVH, N.S. Avenue, Trinayani Ln, Silchar, Assam 788005",₹1–200,Not found,Not found
Hotel Rambo,2.8,76,Takeaway,"RQ6W+MVH, N.S. Avenue, Trinayani Ln, Silchar, Assam 788005",₹1–200,Not found,Not found
AVIGHNA.RESTAURANT,2.6,70,Delivery,"RQ5W+87P, NS Ave, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Tasty food kitchen,4.8,19,No-contact delivery,"RQ4Q+X24, National Highway, CR Ave, Silchar, Assam 788005",₹200–400,Not found,Not found
HOTEL RADHUNI,4.1,326,Drive-through,"RQ3V+26P, Hailakandi Rd, near Katal Point, opp. Surana Motor, Silchar, Kanakpur Part-II, Assam 788012",₹200–400,Not found,Not found
WOW MOMO HUT,4.5,68,Delivery,"QRW5+JCW, Peskar Rd, Kanakpur Part - I, Silchar, Assam 788006",₹200–400,Not found,Not found
Food Garden,4.2,469,No-contact delivery,"QRW2+JM5, 2nd Link Rd, Birbal Bazar, Silchar, Assam 788006",₹200–400,Not found,Not found
BISWAJIT KUMAR NATH,1.0,1,Takeaway,"Premtala, UK Datta Sarani, opposite Blue Stone Jewellery, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Yumm!,4.6,49,"""The food is very good.""","Premtala, UK Datta Sarani, opposite Blue Stone Jewellery, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
"Domino's Pizza | Goldighi Mall, Silchar",3.8,548,Longtime pizza chain known for delivery,"Point, Ramghirkari Rd, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Mohini Hotel & Resturant,4.0,28,Drive-through,"Park Rd, opp. Tennis Club, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Food and love,4.2,609,Delivery,"Panchayat Rd, opposite kid's gurukul school, Das Colony, Ambicapatty, Silchar, Assam 788005",₹200–400,Not found,Not found
Silchar Puchka House,4.9,9,Takeaway,"PWD Rd, opposite POLICE PARADE GROUND, Gandhi Bagh, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Yumzup cafe,4.6,28,Delivery,"PWD Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Etyadi,4.0,633,No-contact delivery,"PWD Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Sanjus Cafe,1.3,6,Delivery,"Oswal Marketing, UKD Sarani Road, Premtala Rd, Ambicapatty, Silchar, Assam 788001",₹1–200,Not found,Not found
Dream Cafe & Restaurant,3.0,118,No-contact delivery,"Oppo. Big Bazar, Silchar, Assam 788004",₹200–400,Not found,Not found
Brotherhood Cafe and Restaurant,3.7,0,No-contact delivery,"Oppo. Big Bazar, Silchar, Assam 788004",₹200–400,Not found,Not found
Ds DOSA FACTORY,3.9,53,Veg-only,"Old, Lakhimpur road, near Dargha Masjid, Chamragudam, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
AL-HALAAL,4.3,37,Delivery,"Old, Lakhimpur road, near Dargha Masjid, Chamragudam, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
Tantra,3.8,850,No-contact delivery,"Old Lakhipur Rd, Chamragudam, Madhurbond, Silchar, Assam 788001",₹200–400,Not found,Not found
CITY RESTAURANT,4.4,5,Delivery,"Old Lakhipur Rd, Chamragudam, Madhurbond, Silchar, Assam 788001",₹200–400,Not found,Not found
ChaiAarambh,4.4,177,Delivery,"No. 2, Near Sonoline X-ray Pathology, N.S Avenue Road, Santipur Lane, Silchar, Assam 788005",₹200–400,Not found,Not found
ONE BITE SILCHAR,3.9,89,No-contact delivery,"No. 2, Near Sonoline X-ray Pathology, N.S Avenue Road, Santipur Lane, Silchar, Assam 788005",₹200–400,Not found,Not found
Barak Valley Cruise - The Floating Restaurant,4.2,18,"""Actually the food and services here was so great.""","New, Annapurna bridge, Tarapur, Silchar, Assam 788001",₹1–200,Not found,Not found
Atithi Appayan Restaurant,3.9,131,No-contact delivery,"Nazirpatty, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
China Town-Multi Cuisine Restaurant with Party hall,4.4,0,No-contact delivery,"Nazirpatty, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
RDP Cafe and Restaurant,4.1,67,No-contact delivery,"National Highway Point, near Shani Mandir, Birbal Bazar, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Hotel Rosy,3.7,24,No dine-in,"Narshing Tola, opposite Shiv Mandir, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹1–200,Not found,Not found
Punjab hotel restaurant,3.7,12,Drive-through,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",₹1–200,Not found,Not found
Hotel Cachar Club,4.1,0,Casual hotel with a bar & a restaurant,"NH 54, Club Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Maya Hotel,3.3,500,Drive-through,"Madhurbond, Uttar Krishnapur Pt II, Silchar, Assam 788006",₹200–400,Not found,Not found
G N Fast Food & Restaurant,5.0,1,No-contact delivery,"Madhurbond, Uttar Krishnapur Pt II, Silchar, Assam 788006",₹200–400,Not found,Not found
Parijaat Restaurant,3.5,175,"""Good food and ambiance.""","Lumding - Silchar Rd, Arcuttepur Grant, Durganagar Pt III, Assam 788030",₹200–400,Not found,Not found
JAGANNATH BHOJANALAYA,4.0,276,Veg-only,"Kanakpur, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Hasty Tasty Restaurant,3.9,0,Veg-only,"Kanakpur, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Love eat restaurant &fast food,5.0,3,No delivery,"Jail Rd, opposite children park, Ambicapatty, Silchar, Assam 788003",₹1–200,Not found,Not found
P.O.P.S. Cookhouse- Meet Your Meat,4.0,43,"""Great food and the menu has many exotic pork dishes which are a must try.""","House 10, Narsing, Road, Tarapur, Silchar, Assam 788003",₹200–400,Not found,Not found
Eclipse - The Restro Lounge,4.0,16,Temporarily closed,"House 10, Narsing, Road, Tarapur, Silchar, Assam 788003",₹200–400,Not found,Not found
The Godfather,4.3,582,No-contact delivery,"Hotel Swagat, Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Foods & Flavours,3.8,160,Delivery,"Hospital Rd, Ambikapatty, Point, Silchar, Assam 788004",₹1–200,Not found,Not found
Mom's Kitchen Restaurant Silchar,4.3,21,Drive-through,"Hailakandi Rd, opposite Tata Motors Showroom, near Khatal Point, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Restaurant sudarshan,4.6,16,Delivery,"Ground floor of Shudakshina Hotal, Shillong Patty, point, Silchar, Assam 788001",₹200–400,Not found,Not found
Yákatañ,3.9,74,Takeaway,"Ground Floor, Grand Tower, Jail Rd, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
7th Heaven Silchar,3.5,372,Veg-only,"Ground Floor, Grand Tower, Jail Rd, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
KFC,4.2,411,Fried chicken restaurant chain,"Ground Floor, Ananta Plaza, NS Ave, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Gomoti Restaurant,3.4,180,Delivery,"Gopalganj, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
"The Chocolate Room, Silchar",4.1,145,No-contact delivery,"Goldhigi Shopping Mall, T-39(A/2), 3rd Floor, Food Court, Central Rd, Silchar, Assam 788001",₹200–400,Not found,Not found
BABUMOSHAI RESTAURANT,2.2,25,Takeaway,"Goldhigi Shopping Mall, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",₹1–200,Not found,Not found
Gabbar The Hungers Point / ultimate momos ultimate taste,4.6,110,"""The ambiance and theme of this cozy restaurant is very impressive!""","GC College Rd, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788004",₹200–400,Not found,Not found
Eden Royals- A foodcity,4.7,169,No-contact delivery,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Karim's - Original From Jama Masjid Delhi - 6,3.8,568,No-contact delivery,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
"Shree Nawab Restaurant, Club Road",4.4,0,Traditional fare in an informal venue,"Ellora Hotel Complex, Club Rd, near Hiranmoyee Lodge, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Dusri Biwi,4.3,12,No-contact delivery,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",₹1–200,Not found,Not found
Hotel JC International,3.8,60,"""Breakfast was complimentary and it was decent.""","College Road, near UCO Bank, Ambicapatty, Uttar Krishnapur Part-I, Silchar, Assam 788004",₹200–400,Not found,Not found
EXIM Fast Food,3.3,9,"""Loved the food and the ambience.""","College Road, Subhash Nagar Point, Silchar, Assam 788001",₹200–400,Not found,Not found
Restaurant Mannaz,3.2,97,Delivery,"Club Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
BMC - Barbeque Meat Corner,3.9,26,Takeaway,"Church Road, UK Datta Sarani, Point, Silchar, Assam 788004",₹200–400,Not found,Not found
Yo Momo,3.9,609,Delivery,"Chowringhee, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
Madhav Bhojanalaya,4.2,9,Veg-only,"Chowrangee Point, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
Hotel Centre Palace,3.6,638,"""They are having a bar also.""","Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Blue Orchid Restobar,3.7,475,No-contact delivery,"Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Khan Restaurant Silchar,3.9,349,Delivery,"Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Anu's Fast Food,3.9,36,Drive-through,"Central Rd, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Cafe 21 Restaurant,4.6,431,No-contact delivery,"Central Rd, Gandhi Bagh, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
The RoofTop Restro,3.2,68,Takeaway,"788001, Sankar Digir Par, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
"Pizza Hut | Goldighi Mall, Silchar",3.6,270,Casual pizza chain with wide selection,"3rd Floor, Goldighi Mall, T39, Central Rd, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
AROMA Cafe & Restaurant,4.0,452,No-contact delivery,"2nd, Link Road Point, Hailakandi Rd, near Barak Hub, Meherpur, Birbal Bazar, Silchar, Assam 788015",₹200–400,Not found,Not found
Babu Hotel,3.8,45,Takeaway,"21, Tarapur, Silchar, Assam 788003",₹1–200,Not found,Not found
Sangai Fine Dine Family Restaurant,4.3,24,Delivery,,,,
Tandoori Magic,4.3,72,No-contact delivery,,₹200–400,Not found,Not found
CafeHub,3.9,0,No-contact delivery,,,,
Ministry of Chicken,4.4,25,Delivery,,,,
The Spicy Kitchen Silchar,4.0,24,No-contact delivery,,₹200–400,Not found,Not found
Momo ghar,3.7,245,Delivery,,,,
Amyrah's Biryani Corner,4.5,33,Delivery,,,,
Tashee's Hut,4.2,32,Takeaway,,,,
BITES AND DELIGHTS,4.2,13,Takeaway,,,,
Hotel Maa Monosha,3.5,265,Takeaway,,,,
ZAHIR RESTAURANT,4.0,45,Takeaway,,₹1–200,Not found,Not found
Jhalu Barbeque,3.4,5,Takeaway,,,,
Food King Restaurant,1.0,1,Takeaway,,,,
GOOD FOOD RESTAURANT,2.5,2,Dine-in,,,,
Kuton Food Center,4.3,7,Takeaway,,,,
BIRYANI HUB,3.9,7,Delivery,,,,
Tejpata Restaurant & Fast Food,,0,No-contact delivery,,,,
CHOTA CHETAN MOMO CENTRE,5.0,1,Takeaway,,,,
Shondha Balar Adda,,0,Dine-in,,,,
HUNGER'S POINT,2.6,5,Temporarily closed,,,,
BARBEQUE SHOP,,0,Temporarily closed,,,,
SUMITRA RANI DAS,,0,Temporarily closed,,,,
Vaishali Hotel,,0,Temporarily closed,,,,
Aparna Fast Food Centre,,0,Temporarily closed,,,,
Anjali Fast Food Shop,,0,Temporarily closed,,Not found,Not found,Not found
Buys Hostel Mess,,0,Temporarily closed,,,,
