Name,Address,Phone,Price,Services,Rating
Dusri Biwi Cafe & Restaurant,"second floor, Bhai Bhai medicine building, Trinayani Ln, opposite Malika Medico, Kanakpur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Cafe 21 Restaurant,"Central Rd, Gandhi Bagh, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Food Garden,"QRW2+JM5, 2nd Link Rd, Birbal Bazar, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Dream Cafe & Restaurant,"Oppo. Big Bazar, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Brotherhood Cafe and Restaurant,"Oppo. Big Bazar, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Mirch Masala Silchar,"Sramik Union Complex, Sadarghat Road, Janiganj Gold Cinema Building, Barak Cha, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
ZAHRA Multi Cuisine Family Restaurant,"Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
"Shree Nawab Restaurant, Central Road","Sonai Road, opp. Talukder Medical Hall, Part II, Saidpur, Uttar Krishnapur Part-I, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
"Shree Nawab Restaurant, Club Road","Ellora Hotel Complex, Club Rd, near Hiranmoyee Lodge, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Karim's - Original From Jama Masjid Delhi - 6,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Eden Royals- A foodcity,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
ZORKO Brand of Food Lovers,"Vivekananda Rd, Ambicapatty, Silchar, Uttar Krishnapur Part-I, Assam 788007",Not found,₹200–400,Not found,Not found
Grills and Giggles,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",Not found,₹200–400,Not found,Not found
Jaya's hotel and restaurant,"RQFX+28P, NN Dutta Road, Premtala Rd, Silchar, Assam",Not found,₹200–400,Not found,Not found
The Godfather,"Hotel Swagat, Central Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
TWO BROTHERS CAFE & RESTAURANT,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",Not found,₹200–400,Not found,Not found
The Hashtag Cafe Silchar,"RQ7X+JG9, Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788004",Not found,₹200–400,Not found,Not found
RDP Cafe and Restaurant,"National Highway Point, near Shani Mandir, Birbal Bazar, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
China Town-Multi Cuisine Restaurant with Party hall,"Nazirpatty, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Atithi Appayan Restaurant,"Nazirpatty, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Dusri Biwi Cafe & Restaurant,,Not found,₹200–400,Not found,Not found
Tandoori Magic,,Not found,₹200–400,Not found,Not found
AS 11 Dhaba,"RQFX+68X, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Etyadi,"PWD Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Yumzup cafe,"PWD Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Pakwan Multi-Cuisine Restaurant,"Shillong Patty, Shyamaprasad Road, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
FoodXMusic,"chourangi Ma Durga Bhavan, opposite to Hitesh Biswas Road, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
RANNA GHAR,"chourangi Ma Durga Bhavan, opposite to Hitesh Biswas Road, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
AROMA Cafe & Restaurant,"2nd, Link Road Point, Hailakandi Rd, near Barak Hub, Meherpur, Birbal Bazar, Silchar, Assam 788015",Not found,₹200–400,Not found,Not found
The RoofTop Restro,"788001, Sankar Digir Par, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Skyview,"RQFX+F3G, Shayam Prasad Road, Shillong Patty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Food and love,"Panchayat Rd, opposite kid's gurukul school, Das Colony, Ambicapatty, Silchar, Assam 788005",Not found,₹200–400,Not found,Not found
HOTEL RADHUNI,"RQ3V+26P, Hailakandi Rd, near Katal Point, opp. Surana Motor, Silchar, Kanakpur Part-II, Assam 788012",Not found,₹200–400,Not found,Not found
Swarupa Restaurant Dhaba,"RQFX+3J8, Medical Road, Near Ploce Chowk Premtala, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
GOODIES RESTAURANT,"RQGQ+PH8, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
Seven Spices,"RRG2+G34 Seven Spices, Central Rd, near Gopinath Jewellers, Gandhi Bagh, Tarapur, Silchar, Assam 788010",Not found,₹200–400,Not found,Not found
Shakahaar Restaurant,"RRG2+G34 Seven Spices, Central Rd, near Gopinath Jewellers, Gandhi Bagh, Tarapur, Silchar, Assam 788010",Not found,₹200–400,Not found,Not found
Paniharin Restaurant,"Shillong Patty, Nazirpatty, Tarapur, Silchar, Assam 788007",Not found,₹200–400,Not found,Not found
Blue Orchid Restobar,"Central Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Khan Restaurant Silchar,"Central Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
The Panda Chef,"The Panda Chef, Das Colony, Ambicapatty, Silchar, Assam 788005",Not found,₹200–400,Not found,Not found
AL-HALAAL,"Old, Lakhimpur road, near Dargha Masjid, Chamragudam, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Ds DOSA FACTORY,"Old, Lakhimpur road, near Dargha Masjid, Chamragudam, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Restaurant sudarshan,"Ground floor of Shudakshina Hotal, Shillong Patty, point, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Tasty food kitchen,"RQ4Q+X24, National Highway, CR Ave, Silchar, Assam 788005",Not found,₹200–400,Not found,Not found
Yákatañ,"Ground Floor, Grand Tower, Jail Rd, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
7th Heaven Silchar,"Ground Floor, Grand Tower, Jail Rd, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Restaurant Diya,"RQHX+9P9, Circuit House Road, Gandhi Bagh, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
JAGANNATH BHOJANALAYA,"Kanakpur, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Hasty Tasty Restaurant,"Kanakpur, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Mom's Kitchen Restaurant Silchar,"Hailakandi Rd, opposite Tata Motors Showroom, near Khatal Point, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Oh Yes Biriyani,"RQCX+XJ6, UK Datta Sarani, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Restaurant Gulmohar,"RQCX+XJ6, UK Datta Sarani, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Bhooter Raja Dilo 3 Bor,"Trinayani Ln, above Bank of Maharashtra, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788001",Not found,₹200–400,Not found,Not found
Wonder Chef,"RQFX+6V5, Gopalganj, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Pet Pooja Resturant,"RQFX+6V5, Gopalganj, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
"The Chocolate Room, Silchar","Goldhigi Shopping Mall, T-39(A/2), 3rd Floor, Food Court, Central Rd, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
TAPATAP RESTAURANT,"RQGQ+VX7, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
BBC Cafe,"RQGQ+VX7, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
The Spicy Kitchen Silchar,,Not found,₹200–400,Not found,Not found
ASSAMESE RESTAURANT,"RQGQ+FPX, KV Rd, Ambicapatty, Silchar, Assam 788007",Not found,₹200–400,Not found,Not found
Eat & Fit,"RQGQ+FPX, KV Rd, Ambicapatty, Silchar, Assam 788007",Not found,₹200–400,Not found,Not found
Kalpana's Hotel Cum Restaurant,"RRJ2+752, Club Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
CHAKHDEY RESTAURANT,"Vivekananda apartment, Narshing Rd, West, Ambicapatty, Chandmari Rd, Tarapur, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
La Trio Pizza & The Kathi Nation,"Vivekananda apartment, Narshing Rd, West, Ambicapatty, Chandmari Rd, Tarapur, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Mirch Masala,"RRP2+R87, Nursing Home Road, Manipuri Para, Tarapur, Rongpur Pt IV, Silchar, Assam 788002",Not found,₹200–400,Not found,Not found
Gomoti Restaurant,"Gopalganj, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Nawab restaurant,"2, Lane Number 12, Birbal Bazar, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Silchar Puchka House,"PWD Rd, opposite POLICE PARADE GROUND, Gandhi Bagh, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Tribal Kitchen,"Tarapur, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
SriKrishna Bhojanalaya,"Tarapur, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Maa Kali Hotel,"RQ6X+X4V, Central Rd, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
CITY RESTAURANT,"Old Lakhipur Rd, Chamragudam, Madhurbond, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Tantra,"Old Lakhipur Rd, Chamragudam, Madhurbond, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Yo Momo,"Chowringhee, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Brothers kitchen,"Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
Jai Hind Cafe,"Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
HOT-BIRD Bar cum Restaurant,"opp. Cancer Hospital Lane, Meherpur, Birbal Bazar, Silchar, Assam 788015",Not found,₹200–400,Not found,Not found
Momo Magic Cafe Silchar,"Ramnagar, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
Babumashai Authentic Bengali Cuisine,"Ramnagar, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
Marwadi Dhabha,"Ramnagar, Silchar, Bangala Ghat Grant, Assam 788003",Not found,₹1–200,Not found,Not found
Love eat restaurant &fast food,"Jail Rd, opposite children park, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
SWAPNA RESTAURANT,"Jail Rd, opposite children park, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Dusri Biwi,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
BABUMOSHAI RESTAURANT,"Goldhigi Shopping Mall, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Momo Zone,"Goldhigi Shopping Mall, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Freshers Restaurant,"RQFX+376, UK Datta Sarani, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
SUSUMA FOODS,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Sikkim Momo,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Choudhury Hotel & Restaurant,"RRH3+JHV, Sadarghat Road, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Foods & Flavours,"Hospital Rd, Ambikapatty, Point, Silchar, Assam 788004",Not found,₹1–200,Not found,Not found
AVIGHNA.RESTAURANT,"RQ5W+87P, NS Ave, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
New Hilara Marwari Tandoori Dhaba,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",Not found,₹1–200,Not found,Not found
Avighna Foods,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",Not found,₹1–200,Not found,Not found
"Domino's Pizza | Goldighi Mall, Silchar","3rd Floor, Food Court, T - 35 Goldighi Mall, Premtala Rd, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Iskcon Temple Bhojanalaya,"RQ9W+V9J, Ambicapatty, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Hotel Dhakaiya,"RQGX+CVH, Narshing Tola, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Punjab hotel restaurant,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
ONE BITE SILCHAR,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
Babumashai Authentic Bengali Cuisine,"1st Floor, Hanuman Tower, Tula patty, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Marwadi Dhabha,"Ramnagar, Silchar, Bangala Ghat Grant, Assam 788003",Not found,₹1–200,Not found,Not found
Love eat restaurant &fast food,"Jail Rd, opposite children park, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Dusri Biwi,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
SWAPNA RESTAURANT,"RQGQ+QQ5, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
BABUMOSHAI RESTAURANT,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
Momo Zone,"RQ9V+VWQ, Ambicapatty, Silchar, Assam 788002",Not found,₹1–200,Not found,Not found
Freshers Restaurant,"RQFX+376, UK Datta Sarani, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
SUSUMA FOODS,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Sikkim Momo,"opp. to IndusInd Bank, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Choudhury Hotel & Restaurant,"RRH3+JHV, Sadarghat Road, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Foods & Flavours,"Hospital Rd, Ambikapatty, Point, Silchar, Assam 788004",Not found,₹1–200,Not found,Not found
AVIGHNA.RESTAURANT,"RQ5W+87P, NS Ave, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
New Hilara Marwari Tandoori Dhaba,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",Not found,₹1–200,Not found,Not found
Avighna Foods,"Point, Ramghirkari Rd, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
"Domino's Pizza | Goldighi Mall, Silchar","3rd Floor, Food Court, T - 35 Goldighi Mall, Premtala Rd, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Iskcon Temple Bhojanalaya,"RQ9W+V9J, Ambicapatty, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Hotel Dhakaiya,"RQGX+CVH, Narshing Tola, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Punjab hotel restaurant,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
ONE BITE SILCHAR,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹200–400,Not found,Not found
Marwadi Dhabha,"Ramnagar, Silchar, Bangala Ghat Grant, Assam 788003",Not found,₹1–200,Not found,Not found
Love eat restaurant &fast food,"Jail Rd, opposite children park, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Dusri Biwi,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
SWAPNA RESTAURANT,"RQGQ+QQ5, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
BABUMOSHAI RESTAURANT,"Goldhigi Shopping Mall, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Momo Zone,"RQ9V+VWQ, Ambicapatty, Silchar, Assam 788002",Not found,₹1–200,Not found,Not found
Freshers Restaurant,"RQFX+376, UK Datta Sarani, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
SUSUMA FOODS,"RQFX+376, UK Datta Sarani, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Sikkim Momo,"Satsang Ashram Rd, Tarapur, Silchar, Uttar Krishnapur Part-I, Assam 788007",Not found,₹1–200,Not found,Not found
Choudhury Hotel & Restaurant,"RRH3+JHV, Sadarghat Road, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Foods & Flavours,"Hospital Rd, Ambikapatty, Point, Silchar, Assam 788004",Not found,₹1–200,Not found,Not found
AVIGHNA.RESTAURANT,"RQ5W+87P, NS Ave, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
New Hilara Marwari Tandoori Dhaba,"Ramnagar Rd, opp. Flower mill, opp. K D Cold Storage, Silchar, Bajantipur Pt I, Assam 788003",Not found,₹1–200,Not found,Not found
Avighna Foods,"Point, Ramghirkari Rd, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
"Domino's Pizza | Goldighi Mall, Silchar","Point, Ramghirkari Rd, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Iskcon Temple Bhojanalaya,"RQ9W+V9J, Ambicapatty, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Hotel Dhakaiya,"RQGX+CVH, Narshing Tola, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Punjab hotel restaurant,"NH37, Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹1–200,Not found,Not found
ONE BITE SILCHAR,"No. 2, Near Sonoline X-ray Pathology, N.S Avenue Road, Santipur Lane, Silchar, Assam 788005",Not found,₹200–400,Not found,Not found
Momo delicia,"RQFR+5RH, R K Mission Rd, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
"Domino's Pizza | Silchar, ASSAM","Upper Ground Floor (right side), Patta No.32 of 2nd R/S Ward No.24, Mouza- Ukil Bazar, Station Rd, Paragana Barakpar, Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
ChaiAarambh,"No. 2, Near Sonoline X-ray Pathology, N.S Avenue Road, Santipur Lane, Silchar, Assam 788005",Not found,₹200–400,Not found,Not found
Madhav Bhojanalaya,"Chowrangee Point, Ambicapatty, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
"Pizza Hut | Goldighi Mall, Silchar","3rd Floor, Goldighi Mall, T39, Central Rd, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Parijat Hotel & Restaurant,"Vijoyshree Complex, Trunk Road, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Amma Idli Dosa,"Vijoyshree Complex, Trunk Road, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
KFC,"Ground Floor, Ananta Plaza, NS Ave, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Mohini Hotel & Resturant,"Park Rd, opp. Tennis Club, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
WOW MOMO HUT,"QRW5+JCW, Peskar Rd, Kanakpur Part - I, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Babamoni Hotel,"2, Central Rd, near SURANA MOTORS LTD, Tarapur, Kanakpur Part-II, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
G N Fast Food & Restaurant,"Madhurbond, Uttar Krishnapur Pt II, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Maya Hotel,"Madhurbond, Uttar Krishnapur Pt II, Silchar, Assam 788006",Not found,₹200–400,Not found,Not found
Baba Thakur Sweets & Baba'z,"Station Rd, Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
BMC - Barbeque Meat Corner,"Church Road, UK Datta Sarani, Point, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Restaurant Mannaz,"Club Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Purbanchal Hotel,"Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹200–400,Not found,Not found
Hotel Cachar Club,"NH 54, Club Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
New Hotel Cum Restaurant,"Ramnagar Rd, Ramnagar, Ambikapur Part-X, Silchar, Assam 788026",Not found,₹200–400,Not found,Not found
Momo Is Love,"Sarat Pally Rd, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788006",Not found,₹1–200,Not found,Not found
Hotel Galaxy,"RQMF+9X8, Ramnagar, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
ZAHIR RESTAURANT,,Not found,₹1–200,Not found,Not found
High street cafe & restaurant,"Kanakpur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Babu Hotel,"21, Tarapur, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Bengali Bites,"RQ6X+789, Trinayani Ln, Kanakpur, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Jalu para momo center,"RQFR+6G9, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Hotel Rosy,"Narshing Tola, opposite Shiv Mandir, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Maa Kali Restaurant,"RQFR+6G9, Jhalupara, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
MOMO PLAZA,"Ramnagar, Ambikapur Part-X, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Sanjus Cafe,"Oswal Marketing, UKD Sarani Road, Premtala Rd, Ambicapatty, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
Anu's Fast Food,"Central Rd, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹1–200,Not found,Not found
Hotel Rambo,"RQ6W+MVH, N.S. Avenue, Trinayani Ln, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
Borail View Regency,"RQ6W+MVH, N.S. Avenue, Trinayani Ln, Silchar, Assam 788005",Not found,₹1–200,Not found,Not found
Randhan Family Dhaba,"RQJ2+9C7, NH 37, Bajantipur Pt I, Assam 788026",Not found,₹1–200,Not found,Not found
NANDU RESTAURANT,"RQGQ+PH3, KV Rd, Ambicapatty, Silchar, Assam 788003",Not found,₹1–200,Not found,Not found
Barak Valley Cruise - The Floating Restaurant,"New, Annapurna bridge, Tarapur, Silchar, Assam 788001",Not found,₹1–200,Not found,Not found
J.K Dhaba & Hotel,"Silchar By Pass Road, Kuarpar Rd, Ghungoor, Assam 788010",Not found,₹1–200,Not found,Not found
Hotel Sarada,"College Road, near UCO Bank, Ambicapatty, Uttar Krishnapur Part-I, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
Hotel JC International,"College Road, near UCO Bank, Ambicapatty, Uttar Krishnapur Part-I, Silchar, Assam 788004",Not found,₹200–400,Not found,Not found
"""FLAVOURS OF LOVE"" ( A FAMILY RESTAURANT )","Trinayani Ln, opp. Apanjon Polly, near Holy Cross School, Kanakpur, Silchar, Uttar Krishnapur Pt II, Assam 788006",Not found,₹200–400,Not found,Not found
Gabbar The Hungers Point / ultimate momos ultimate taste,"GC College Rd, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788004",Not found,₹200–400,Not found,Not found
BurgerMansilchar,"Shillong Patty, near chotelal seth, opposite to yes bank, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Yumm!,"Premtala, UK Datta Sarani, opposite Blue Stone Jewellery, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
BISWAJIT KUMAR NATH,"Premtala, UK Datta Sarani, opposite Blue Stone Jewellery, Nazirpatty, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Hotel Centre Palace,"Central Rd, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Shaade Ahllade,"RQCX+HC5, Premtala Rd, opposite Premtala Traffic Police Point, Nazirpatty, Tarapur, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
P.O.P.S. Cookhouse- Meet Your Meat,"House 10, Narsing, Road, Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
Eclipse - The Restro Lounge,"House 10, Narsing, Road, Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
South Corner,"near taraknath mandir, Rangirkhari, Tarapur, Silchar, Kanakpur Part-II, Assam 788005",Not found,₹200–400,Not found,Not found
Shruti Family Restaurant,"near ISBT, Ramnagar, Silchar, Assam 788025",Not found,₹200–400,Not found,Not found
Parijaat Restaurant,"Lumding - Silchar Rd, Arcuttepur Grant, Durganagar Pt III, Assam 788030",Not found,₹200–400,Not found,Not found
EXIM Fast Food,"College Road, Subhash Nagar Point, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
The Bhoj of Brotherhood cafe & Restaurant,"RQ9X+X28, Point, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
VISHNU PRASAD RESTAURANT,"RQ9X+X28, Point, Ambicapatty, Silchar, Assam 788001",Not found,₹200–400,Not found,Not found
Nataraj Hotel & Restaurant,"3, Station Rd, Tarapur, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
Radharaman Hotal,"colony, Karimganj Road, Ramnagar, Ambikapur Part-X, Silchar, Assam 788003",Not found,₹200–400,Not found,Not found
EMA GI HOTEL [ TASTE OF MOM ] Manipuri hotel,"VIP road, opposite LNB wine shop, Rongpur, Silchar, Assam 788009",Not found,Not found,Not found,Not found
Anjali Fast Food Shop,,Not found,Not found,Not found,Not found
